UUID, Name, Latitude, Longitude
146d7e45-1cfe-48f1-acfe-09aaad9f94f7, 10TH AVE N & I-95, 26.62788314516843, -80.06757498752553
f5127659-63aa-4e56-a01b-c5a86a2724dc, Okeechobee Blvd & I-95, 26.706119604565092, -80.07562186237448
4a20855d-e3ae-4595-b33a-e7376563cefc, Okeechobee Blvd & Flagler, 26.705522714264873, -80.04903914756243
1f48dafd-2dcd-4be2-b756-bcf340cfbcea, Lakeview Ave & Quadrille Blvd, 26.70643992965978, -80.0551790880427
6574b6a2-6f5a-40aa-9cbb-11ff380a43c6, Lakeview Ave & Flagler Dr, 26.7061668610935, -80.04872888989135
00439916-e72f-4c3e-a26e-bd9c142c4ef0, 10th Av N and Military Trail, 26.62960605664697, -80.11307011872876
19ed3e54-156e-4fd9-8a14-7f5a7cc5e2be, 10th Av N and Congress Av, 26.62862975849005, -80.08865336105767
3774cbac-6a9a-44a8-9197-04cc97eb33ab, Forest Hill Bl and Military Trail, 26.651786187940537, -80.1123261168795
dbd30501-0ae4-475b-9939-c27e76a4923a, Forest Hill Bl and Congress Av, 26.6508876664867, -80.088087988044
e118556c-b7ba-4a16-9d17-8c7931343022, Forest Hill Bl and Dixie Hwy, 26.655096331254434, -80.05604534571498
e7f971b3-b4c6-4003-8298-29117ca62639, Lake Worth Rd and Military Trail, 26.618368460218306, -80.11353174756452
f13be785-9d31-46bf-8dac-625eedf9c6c1, Lake Worth Rd and Lyons Rd, 26.61731275082495, -80.18966047270271
63c9b807-23ce-41bd-a7f1-18d574efea84, Binks Forest & Bent Creek, 26.680375163278608, -80.29168555735912
46246356-7c4d-443c-8fa4-74ea2338e753, 6TH AV & CONGRESS AV, 26.609608131419527, -80.08920094571603
c4ee7666-3acc-4efe-9b5d-39c9f3720714, BANYAN BLVD & AUSTRALIAN AV, 26.713923562434616, -80.06584998804243
d958df0c-b555-4047-9fb5-eaec7bbbc805, BANYAN BLVD & QUADRILLE BLVD, 26.714450893153476, -80.05492394571355
0befa3e1-06f8-4ca5-b1ef-a88d82a0675d, BANYAN BLVD & TAMARIND AV, 26.714671227576282, -80.06195836105564
b4c73185-d446-4755-8aec-2b2251a630f1, BELVEDERE RD & AUSTRALIAN AV, 26.690921663208496, -80.07498228804307
783b973d-d1f1-490e-a4d3-5c2514868185, BELVEDERE RD & CONGRESS AV, 26.691209776785968, -80.08703985920758
6d6dbe3c-91f3-4071-96e2-b17c79fec01c, BELVEDERE RD & JOG RD, 26.692975187390296, -80.1457416629049
a1278663-838f-4876-8dbe-5443f3dc3f48, BELVEDERE RD & MILITARY TRAIL, 26.69203403477137, -80.11171453222065
1563f6c0-0542-4bc1-a5f5-29488630255e, LANTANA RD & CONGRESS AV, 26.58816690572844, -80.09402148804556
83589dcc-08ac-43a9-9274-f27efc8cf999, OKEECHOBEE BLVD & HAVERHILL RD, 26.707043787100243, -80.1193781880427
c95d6396-c603-40d2-a2ac-69a2ac432d34, OKEECHOBEE BLVD & PALM BEACH LAKES BLVD, 26.706712382412206, -80.100439149411
fcc6a930-da02-4f26-bcf1-6b8e7c651036, OKEECHOBEE BLVD & TAMARIND-PARKER AVE, 26.70607660221332, -80.06189227454924
6f3c88af-4591-417d-a551-161b2b661184, OKEECHOBEE BLVD & MILITARY TRAIL, 26.706886374053095, -80.11112505820184
3d389c09-8ab3-476b-89b7-900bf889b334, PALM BEACH LAKES BLVD & AUSTRALIAN AV, 26.72480077368798, -80.06661470364473
131949ee-3e6f-4c83-8a5d-d45426bc278e, PALM BEACH LAKES BLVD & CONGRESS AV, 26.72441950644207, -80.08359729409959
2866cd59-6a79-42e7-9be5-60456c80b851, QUADRILLE BLVD & OLIVE AVE, 26.718415140819168, -80.05178731442892
fcbeab2a-884a-4158-8918-64809cc9eaa6, ROEBUCK RD & HAVERHILL RD, 26.736317011502113, -80.11825958732761
423839f2-961b-42b5-814f-c2581b7455fe, SOUTHERN BLVD & AND KIRK RD, 26.677417854518314, -80.1038527331005
82d31894-482d-43a0-992d-74e2e9c5d569, SOUTHERN BLVD & AVOCADO, 26.678495435201885, -80.13258787141719
eb66813b-6d9a-4bc0-90b6-68ccdac2415d, SOUTHERN BLVD & CONGRESS, 26.676924840413633, -80.08210609486311
6a3dcc45-40e4-4e86-a4d9-5113d0a1e2e8, SOUTHERN BLVD & DIXIE HWY, 26.675730027927465, -80.05473907510942
361bff2e-927c-4624-a53d-a9e472c79289, SOUTHERN BLVD & HAVERHILL RD NWC, 26.678644415932407, -80.1204059297175
cdc6ef45-3b25-46f3-aca5-0fec783dcd76, SOUTHERN BLVD & HAVERHILL RD SEC, 26.677975624701702, -80.12041605661682
9e50b029-fabe-4600-bfe1-0aa17f82d556, SOUTHERN BLVD & I-95, 26.676214241544894, -80.06961317978048
3fe380d8-f17a-4eb8-8f9e-a562582b5938, SOUTHERN BLVD & JOG & HAVERHILL WEST RAMP, 26.678914314406178, -80.14525553879737
a8f162d1-599c-4473-b930-be314029cdc6, SOUTHERN BLVD & MILITARY TRAIL EAST OF RAMP, 26.67842668680537, -80.11225036575061
07e8f1dd-5154-4fd3-b5eb-274893721a01, SOUTHERN BLVD & MILITARY TRAIL NEC, 26.67820694088349, -80.1123349500601
01a8b96c-b027-4c64-8422-d8bfadb1a0e6, SOUTHERN BLVD & MILITARY TRAIL NWC, 26.678120758214583, -80.11195417135066
619d0f31-0896-4632-a1eb-3b1d77439c11, SOUTHERN BLVD & MILITARY TRAIL SEC, 26.678077666855728, -80.11206368290561
4c90c49e-cec9-4c3a-bced-94af83ae7b80, SOUTHERN BLVD & PARKER, 26.67593528182112, -80.06283795889021
8d28c1ae-a10a-4b83-a8fe-9a8f3d0d698f, SOUTHERN BLVD WEST OF AUSTRALIAN AVE, 26.67699268425966, -80.08303031342733
9253026b-4fff-4fbd-8138-a392a6508a18, PGA & MILITARY, 26.838248759705746, -80.10518515175129
